role,cluster,role_cluster,champion,n_pick,share_cluster,share_role,lift
top,0,top_0,Galio,22,0.0231,0.0171,1.349
top,0,top_0,Sion,108,0.1134,0.0904,1.254
top,0,top_0,Rumble,154,0.1618,0.1409,1.148
top,0,top_0,Gragas,14,0.0147,0.0129,1.138
top,0,top_0,K'Sante,77,0.0809,0.0712,1.136
top,0,top_0,Camille,13,0.0137,0.0129,1.057
top,0,top_0,Yorick,46,0.0483,0.0466,1.037
top,0,top_0,Jax,45,0.0473,0.0484,0.977
top,0,top_0,Renekton,58,0.0609,0.0631,0.966
top,0,top_0,Gnar,34,0.0357,0.0379,0.943
top,0,top_0,Aatrox,35,0.0368,0.0391,0.941
top,0,top_0,Gwen,75,0.0788,0.0883,0.892
top,0,top_0,Ambessa,98,0.1029,0.1184,0.87
top,0,top_0,Jayce,47,0.0494,0.0694,0.711
top,1,top_1,Cho'Gath,13,0.012,0.0081,1.482
top,1,top_1,Gnar,53,0.049,0.0379,1.295
top,1,top_1,Aurora,37,0.0342,0.0264,1.294
top,1,top_1,Yorick,60,0.0555,0.0466,1.192
top,1,top_1,Renekton,79,0.0731,0.0631,1.158
top,1,top_1,Jayce,86,0.0796,0.0694,1.146
top,1,top_1,Ornn,46,0.0426,0.0385,1.106
top,1,top_1,Gwen,98,0.0907,0.0883,1.026
top,1,top_1,Sion,98,0.0907,0.0904,1.002
top,1,top_1,Ambessa,127,0.1175,0.1184,0.992
top,1,top_1,Rumble,146,0.1351,0.1409,0.958
top,1,top_1,Aatrox,39,0.0361,0.0391,0.924
top,1,top_1,Galio,16,0.0148,0.0171,0.864
top,1,top_1,Gragas,12,0.0111,0.0129,0.859
top,1,top_1,K'Sante,61,0.0564,0.0712,0.792
top,1,top_1,Jax,40,0.037,0.0484,0.765
top,2,top_2,K'Sante,75,0.1008,0.0712,1.416
top,2,top_2,Ambessa,110,0.1478,0.1184,1.249
top,2,top_2,Jax,43,0.0578,0.0484,1.195
top,2,top_2,Aatrox,33,0.0444,0.0391,1.135
top,2,top_2,Jayce,55,0.0739,0.0694,1.065
top,2,top_2,Gwen,66,0.0887,0.0883,1.004
top,2,top_2,Rumble,96,0.129,0.1409,0.916
top,2,top_2,Aurora,17,0.0228,0.0264,0.864
top,2,top_2,Sion,58,0.078,0.0904,0.862
top,2,top_2,Renekton,38,0.0511,0.0631,0.809
top,2,top_2,Yorick,27,0.0363,0.0466,0.779
top,2,top_2,Gnar,21,0.0282,0.0379,0.746
top,3,top_3,Nidalee,15,0.0272,0.0075,3.624
top,3,top_3,Aurora,25,0.0454,0.0264,1.716
top,3,top_3,Jax,33,0.0599,0.0484,1.238
top,3,top_3,Gwen,55,0.0998,0.0883,1.13
top,3,top_3,Jayce,43,0.078,0.0694,1.124
top,3,top_3,Aatrox,23,0.0417,0.0391,1.069
top,3,top_3,Renekton,35,0.0635,0.0631,1.007
top,3,top_3,Rumble,73,0.1325,0.1409,0.94
top,3,top_3,Ambessa,59,0.1071,0.1184,0.904
top,3,top_3,Gnar,18,0.0327,0.0379,0.863
top,3,top_3,Yorick,22,0.0399,0.0466,0.857
top,3,top_3,Ornn,18,0.0327,0.0385,0.849
top,3,top_3,Sion,37,0.0672,0.0904,0.742
top,3,top_3,K'Sante,24,0.0436,0.0712,0.612
