playername,playerid,league,position,teamname,n_games,dpm,damageshare,earnedgoldshare,cspm,jungle_cs_share,deaths_pm,death_share,dmg_taken_pm,kp,kill_ratio,wpm,wcpm,dpm_z,damageshare_z,earnedgoldshare_z,cspm_z,jungle_cs_share_z,deaths_pm_z,death_share_z,dmg_taken_pm_z,kp_z,kill_ratio_z,wpm_z,wcpm_z,cluster,role_cluster,playstyle,pc1,pc2
Gumayusi,oe:player:c7319736816efe935787b4381c6f321,LCK,bot,T1,62,756.2007048387097,0.2636595,0.2565550483870968,9.628975806451612,0.040488764626695664,0.07290036949502347,0.17675544794188863,515.1378112903226,0.7008712487899322,0.42265193370165743,0.4538661290322581,0.3038967741935484,0.7769813546446954,-0.59638582432075,-0.19515604857411792,0.9235111714888183,0.3017060297076125,0.007415372862657926,0.5145827702536241,0.7154146379122202,-0.1834830218016997,-0.154328714121395,0.8331384956921442,-0.32736290348431063,1,bot_1,Penyerang Seimbang,0.19478713270158335,0.48469124681745546
Violet,oe:player:5a804d07122e4fee39975c8097146f4,LCP,bot,Chiefs Esports Club,18,503.81614999999994,0.2595817777777778,0.25502061111111113,9.025355555555556,0.009563658099222952,0.0703547805171377,0.14942528735632185,415.6317388888889,0.712707182320442,0.46511627906976744,0.3151777777777778,0.26734444444444444,-2.757220656934147,-0.8526002231515293,-0.35187919154097363,-0.7003684614777503,-2.423415856749042,-0.1390531368247855,-0.6609511343092179,-2.026656646672536,0.18534041271432417,0.7191739484610259,-1.907056123926665,-1.0089553480899511,1,bot_1,Penyerang Seimbang,-1.8773602654279917,-3.1221914747205934
Shogun,oe:player:60d1428b9206634f3feb66e4b8ebd59,LCP,bot,MGN Vikings Esports,31,717.4686516129033,0.2763494516129032,0.2531276774193548,9.558632258064515,0.04594959029146354,0.05657849024765497,0.16101694915254236,453.5489935483871,0.6943231441048034,0.4339622641509434,0.4589645161290323,0.3201709677419355,0.23460703815491016,0.2009584150619463,-0.5452181583679697,0.7342705763185354,0.7829142520289504,-0.9317155510330022,-0.16236674403383844,-0.9817775485141047,-0.38753067493478216,0.07832773392920285,0.9338720667883919,-0.02389750358316116,1,bot_1,Penyerang Seimbang,1.0287399313500962,-0.8769995113459693
Marble,oe:player:7fb26875c639817a59912a87be6f738,LCP,bot,Fukuoka SoftBank HAWKS gaming,50,736.924976,0.29480098,0.26810968,9.141258,0.02265029635901778,0.06921012063259344,0.11982082866741321,449.854682,0.7338983050847457,0.4503464203233256,0.40757800000000005,0.25355,0.5070586579885865,1.360318223203253,0.9850017920486761,-0.38856378185512713,-1.270220658852908,-0.20491476210863072,-1.9343079009511512,-1.0835810401872028,0.8456839892504995,0.415354100794847,-0.08141907874810413,-1.2661807883122962,1,bot_1,Penyerang Seimbang,1.065544463624741,-1.2677517891876153
Artemis,oe:player:9d2474b953a3a0be93880409ccceb4e,LCP,bot,GAM Esports,47,651.4986106382978,0.2642231063829787,0.25857121276595746,9.492165957446808,0.041490953611753506,0.06057872011342399,0.16123499142367068,484.4299212765958,0.7136563876651982,0.4609053497942387,0.37181914893617024,0.32985106382978724,-0.6891874137892205,-0.5609728994763052,0.010769356874523564,0.5554606843516839,0.39001897165724525,-0.701549679033897,-0.15298823776649578,-0.1307972704136281,0.21491891401390895,0.6325540346901916,-0.787939924965831,0.1566075531895365,1,bot_1,Penyerang Seimbang,0.5105888492351078,-0.5024964816972632
Eddie,oe:player:e5f6c83e6e97c74fc9e9760fc8972ae,LCP,bot,Team Secret Whales,45,776.1999133333333,0.29342922222222223,0.2623592,9.699537777777778,0.035494140757298655,0.05652069139264355,0.15439856373429084,449.9100666666667,0.7090395480225988,0.3944223107569721,0.45423111111111114,0.3150866666666667,1.0570351120422237,1.2741269440475969,0.39766380614819774,1.1133393754439294,-0.13842046780408215,-0.935041190886375,-0.4470389261917334,-1.0820548146975635,0.07105204882715313,-0.7350194228117655,0.8403497857513595,-0.11870462594144267,1,bot_1,Penyerang Seimbang,1.644596591880709,-0.5813406055517972
Keduii,oe:player:44189e6dc3089dbf9520de800fa705a,LEC,bot,SK Gaming,28,600.4457607142857,0.2716955714285714,0.26257825,9.426139285714285,0.034330268823460956,0.08025946896817107,0.14717741935483872,474.837775,0.7095588235294118,0.41968911917098445,0.43109285714285717,0.34232500000000005,-1.4040928287167842,-0.09145755853255626,0.42003696209544017,0.377833496894256,-0.24098091903861968,0.43084442674267737,-0.7576371761073342,-0.39512635333109314,0.08723336442757619,-0.2152745819746718,0.3831858029245404,0.38920943401270053,1,bot_1,Penyerang Seimbang,-0.009891794143547766,-0.98916807569977
Flakked,oe:player:717bb4d71a2dab54e7020b1a8fde420,LEC,bot,Team Heretics,41,663.5586048780488,0.26683321951219513,0.25584251219512194,9.422119512195122,0.03108531276254487,0.07063487296534326,0.16415410385259632,493.51162682926827,0.7082452431289641,0.4388059701492537,0.5172024390243902,0.35419024390243903,-0.5203083953049255,-0.39697237912745376,-0.2679325075611441,0.3670193660939441,-0.5269266044427069,-0.12293713230882886,-0.027430408690105722,0.1194656875149407,0.04630045165333599,0.17796402997034919,2.0845328218709467,0.610461010938623,1,bot_1,Penyerang Seimbang,0.14703877511427202,-0.6535279637123629
Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,LEC,bot,G2 Esports,39,669.3546794871795,0.26368928205128206,0.24892079487179486,9.376274358974358,0.04182093571188152,0.045036740498827985,0.15447154471544716,421.213541025641,0.6373239436619719,0.4585635359116022,0.3788820512820513,0.3965948717948718,-0.4391445596021349,-0.5945145368839555,-0.9748974064313909,0.24368518293008223,0.4190970103181286,-1.5958066119159542,-0.44389984409710326,-1.8728399098037085,-2.163701588517724,0.5843823121775057,-0.6483916007409355,1.401181443430462,1,bot_1,Penyerang Seimbang,0.6386037227358341,-1.834673136482461
Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,LEC,bot,Team Vitality,39,685.2087692307692,0.2657200512820513,0.25086058974358977,8.965284615384615,0.029519979464362113,0.07510345884637,0.1675213675213675,520.2620102564103,0.6642066420664207,0.4722222222222222,0.48656923076923075,0.3253846153846154,-0.21713590340938918,-0.46691577236045345,-0.776772169397248,-0.8619733382722887,-0.6648638505662636,0.1341770837292744,0.11740344970784353,0.8566212849269174,-1.3260009433570166,0.8653450529493095,1.4792840631743596,0.0733215482933814,1,bot_1,Penyerang Seimbang,-0.943468486808424,-0.08633188524364785
